标题,地区,位置,具体位置,resblock-tag1_resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
合景臻玥广场,黄埔,科学城,广州市黄埔区科翔路76号臻玥广场售楼部（美国人学校对面）,"写字楼,车位充足,人车分流,品牌房企,近地铁",55000,总价1600(万/套),售罄,,
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"住宅,绿化率高,人车分流,国央企,品牌房企",38000,总价370(万/套),售罄,"2室,3室",建面 78-117㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"写字楼,车位充足,人车分流,国央企,品牌房企",24000,总价845(万/套),售罄,1室,建面 467㎡
美的江上沄启,南沙,明珠湾,广东省广州市南沙区横沥镇凤凰二桥,"住宅,人车分流,封闭管理,品牌房企,入户花园",30000,总价300(万/套),售罄,"2室,3室",建面 98-140㎡
金地半山风华,增城,永宁,新新大道北金地半山风华,"住宅,绿化率高,低密居所,高品质小区,养老舒适",12000,总价120(万/套),售罄,"2室,3室",建面 66-106㎡
中海观雲府,海珠,东晓南,东晓南路1668号,"住宅,绿化率高,人车分流,国央企,品牌房企",70000,总价1100(万/套),售罄,"3室,4室",建面 86-164㎡
品秀·星樾,黄埔,香雪,荔红一路品秀·星樾,"商业,车位充足,人车分流,国央企,品牌房企",45000,总价130(万/套),售罄,1室,建面 60㎡
领南星河荣誉,南沙,南沙港,南沙区英东大道领南星河荣誉销售中心,"写字楼,车位充足,人车分流,品牌房企,地铁沿线",价格待定,,售罄,,
领南星河荣誉,南沙,南沙港,南沙区英东大道,"底商,车位充足,人车分流,品牌房企,健身跑道",34000,总价160(万/套),售罄,,
中建玖玥湾,南沙,南沙港,港前大道北中建玖玥湾,"住宅,绿化率高,人车分流,国央企,品牌房企",35000,总价400(万/套),售罄,"3室,4室",建面 100-140㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"底商,车位充足,人车分流,国央企,品牌房企",价格待定,,售罄,,
中海联睿品,增城,新塘北,民营大道东（新塘客运站南300米）,"底商,车位充足,人车分流,地铁沿线,公交直达",30000,总价150(万/套),售罄,,
合景臻玥广场,黄埔,科学城,广东省广州市黄埔区科翔路76号,"商业类,车位充足,绿化率高,品牌房企,贴心物业",55000,总价1721(万/套),售罄,5室,建面 313-322㎡
保利越秀·天启,荔湾,鹤洞,广州市荔湾区芳村大道东5-1号、5-2号,"住宅,人车分流,封闭管理,国央企,品牌房企",50000,总价600(万/套),售罄,"2室,3室",建面 88-119㎡
铂玥明珠ONE,南沙,明珠湾,广东省广州市南沙区义沙东路,"住宅,车位充足,人车分流,品牌房企,科技住宅",28000,总价250(万/套),售罄,"2室,3室",建面 79-113㎡
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"商业类,绿化率高,人车分流,国央企,品牌房企",18000,总价150(万/套),售罄,"1室,4室",建面 32-80㎡
中惠璧珑湾,南沙,南沙区府,南沙进港大道与凤凰大道交界（地铁4号线蕉门站A出口）,"写字楼,人车分流,小型社区,近地铁,地铁沿线",26000,总价189(万/套),售罄,,
凯得金融中心,黄埔,科学城,广东省广州市黄埔区科学大道239号,"写字楼,小型社区,国央企,品牌房企,近地铁",26000,总价2600(万/套),售罄,1室,建面 1001-1002㎡
越秀明珠天悦江湾,南沙,明珠湾,庙南路越秀明珠天悦江湾,"底商,人车分流,大型社区,国央企,品牌房企",27000,总价900(万/套),售罄,,
星汇城,黄埔,知识城,知识城镇龙地铁站C出口,"商业,车位充足,人车分流,国央企,品牌房企",15000,总价60(万/套),售罄,,
保利时代,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,"底商,人车分流,大型社区,国央企,品牌房企",22000,总价75(万/套),售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"底商,人车分流,小型社区,品牌房企,公交直达",价格待定,,售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"商业,人车分流,小型社区,品牌房企,公交直达",22500,总价100(万/套),售罄,,
保利时光印象,南沙,金洲,金岭南路保利时光印象,"住宅,绿化率高,人车分流,国央企,品牌房企",18000,总价130(万/套),售罄,"3室,4室",建面 68-118㎡
美的江上沄启,南沙,明珠湾,横沥镇晓风印月东三街1号,"底商,人车分流,封闭管理,品牌房企,公交直达",27000,总价100(万/套),售罄,,
万科云都荟,白云,三元里,机场路万科云都荟,"商业类,小型社区,国央企,品牌房企,近地铁",价格待定,,售罄,,
越秀和樾府,番禺,汉溪长隆,番禺大道与汉溪大道交汇处西侧,"底商,人车分流,大型社区,国央企,品牌房企",100000,总价260(万/套),售罄,,
中国铁建环球中心,南沙,南沙区府,广东省广州市南沙区S358(进港大道),"底商,大型社区,国央企,品牌房企,近地铁",28000,,售罄,,
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"底商,人车分流,封闭管理,国央企,品牌房企",38000,总价90(万/套),售罄,,
中建玖玥湾,南沙,南沙港,南沙-明珠湾/港前大道北与下湾东街交叉口西北320米,"商业类,绿化率高,人车分流,国央企,品牌房企",17000,总价76(万/套),售罄,"1室,2室",建面 38-65㎡
香江健康小镇三期一方小院,增城,派潭镇,达开北路香江健康小镇三期一方小院,"商业,小型社区,品牌房企,公交直达,超市",价格待定,,售罄,,
保利半岛,南沙,黄阁,滨水大道左侧（南沙儿童公园对面）保利半岛,"商业,车位充足,国央企,品牌房企,地铁沿线",价格待定,,售罄,,
保利半岛南地块,南沙,黄阁,市南大道北侧，滨水大道左侧(华师附二中旁),"商业,车位充足,国央企,品牌房企,地铁沿线",价格待定,,售罄,,
富力新城,黄埔,开发东区,广东省广州市黄埔区笔村大路85,"底商,人车分流,大型社区,地铁沿线,公交直达",43000,总价355(万/套),售罄,1室,建面 71-81㎡
禧都华庭,花都,铁路西,工业大道17号之二,"住宅,绿化率高,人车分流,品牌房企,地铁沿线",13800,总价140(万/套),售罄,"2室,3室",建面 76-126㎡
保利罗兰国际（商业）,黄埔,科学城,开创大道保利罗兰国际,"商业,车位充足,人车分流,国央企,品牌房企",40000,总价350(万/套),售罄,,
华润置地润府,白云,嘉禾望岗,鹤龙三路自编4号,"商业,小型社区,国央企,品牌房企,地铁沿线",价格待定,,售罄,,
中建玖玥湾,南沙,南沙港,港前大道北中建玖玥湾,"商业,人车分流,小型社区,国央企,品牌房企",价格待定,,售罄,,
禧都华庭,花都,铁路西,新街大道100号,"商业,人车分流,小型社区,品牌房企,近地铁",28000,总价114(万/套),售罄,1室,建面 40㎡
保利悦公馆,番禺,金山谷,兴学路,"商业,人车分流,大型社区,国央企,品牌房企",价格待定,,售罄,,
星樾山畔TOD,黄埔,科学城,地铁7号线2期水西北站旁(敏捷广场旁),"商业,车位充足,人车分流,国央企,品牌房企",价格待定,,售罄,,
南沙·十里方圆,南沙,黄阁,黄阁镇大井村,"商业,人车分流,小型社区,品牌房企,地铁沿线",价格待定,,售罄,,
禧都华庭,花都,铁路西,工业大道17号之二,"底商,人车分流,小型社区,品牌房企,地铁沿线",28000,总价114(万/套),售罄,1室,建面 40㎡
叠翠峰,南沙,南沙区府,南沙凤凰大道与丰泽西路交汇处叠翠峰,"底商,大型社区,近地铁,地铁沿线,综合商场",35000,,售罄,,
云星钱隆天誉,从化,太平镇,高技术产业园丰盈路7号,"底商,品牌房企,地铁沿线,公交直达,已交房超2年",18000,,售罄,,
